View name,View index,Feature name,Area,X,Y,Overlapping pixels (cyan),ViDi markings only pixels (pink),Region only pixels (mustard)
100109202043_Blue_Lane [3]_RackIndex[3]_Date_01_10_2020_ 1142,0,defect,1160,461.3457,109.1121,1030,111,19
100109202044_Blue_Lane [2]_RackIndex[4]_Date_01_10_2020_ 0664,0,defect,1000,515.214,113.633,868,100,32
100109202044_Blue_Lane [2]_RackIndex[4]_Date_01_10_2020_ 0760,0,defect,1004,515.2321,113.1882,877,102,25
100109202044_Blue_Lane [2]_RackIndex[4]_Date_01_10_2020_ 0856,0,defect,1005,515.2239,113.4149,864,109,32
100109202044_Blue_Lane [2]_RackIndex[16]_Date_01_10_2020_ 1296,0,defect,965,506.7472,115.2332,861,93,11
100109202044_Blue_Lane [3]_RackIndex[4]_Date_01_10_2020_ 0952,0,defect,970,516.4711,113.9907,834,91,45
100109202044_Blue_Lane [3]_RackIndex[4]_Date_01_10_2020_ 1048,0,defect,958,516.5501,114.0825,816,109,33
100109202044_Blue_Lane [3]_RackIndex[4]_Date_01_10_2020_ 1144,0,defect,953,516.5099,113.7608,806,105,42
100109202045_Blue_Lane [1]_RackIndex[12]_Date_01_10_2020_ 1256,0,defect,1145,482.3188,114.5127,997,101,47
100109202045_Blue_Lane [2]_RackIndex[5]_Date_01_10_2020_ 0666,0,defect,1233,484.635,109.9181,1104,122,7
100109202045_Blue_Lane [2]_RackIndex[5]_Date_01_10_2020_ 0762,0,defect,1215,484.5819,110.1432,1079,121,15
100109202045_Blue_Lane [2]_RackIndex[5]_Date_01_10_2020_ 0858,0,defect,1206,484.791,109.7695,1088,111,7
100109202045_Blue_Lane [3]_RackIndex[5]_Date_01_10_2020_ 0954,0,defect,1118,486.2549,108.5796,1014,93,11
100109202045_Blue_Lane [3]_RackIndex[5]_Date_01_10_2020_ 1050,0,defect,1116,486.2339,109.0421,1028,65,23
100109202045_Blue_Lane [3]_RackIndex[5]_Date_01_10_2020_ 1146,0,defect,1079,486.1122,108.5171,982,89,8
100109202046_Blue_Lane [1]_RackIndex[15]_Date_01_10_2020_ 1262,0,defect,1169,455.1369,112.0086,1024,110,35
100109202046_Blue_Lane [2]_RackIndex[6]_Date_01_10_2020_ 0668,0,defect,1164,460.8445,115.1005,990,115,59
100109202046_Blue_Lane [2]_RackIndex[6]_Date_01_10_2020_ 0764,0,defect,1150,460.593,115.1696,991,83,76
100109202046_Blue_Lane [2]_RackIndex[6]_Date_01_10_2020_ 0860,0,defect,1188,460.8064,114.4335,1023,97,68
100109202046_Blue_Lane [3]_RackIndex[6]_Date_01_10_2020_ 0956,0,defect,1136,462.1673,114.9551,1006,110,20
100109202046_Blue_Lane [3]_RackIndex[6]_Date_01_10_2020_ 1052,0,defect,1158,462.0164,114.3256,1046,85,27
100109202046_Blue_Lane [3]_RackIndex[6]_Date_01_10_2020_ 1148,0,defect,1150,462.0409,114.9722,1052,83,15
100109202047_Blue_Lane [2]_RackIndex[7]_Date_01_10_2020_ 0670,0,defect,1173,577.2958,114.5678,1051,109,13
100109202047_Blue_Lane [2]_RackIndex[7]_Date_01_10_2020_ 0766,0,defect,1154,577.3761,114.7322,1030,112,12
100109202047_Blue_Lane [2]_RackIndex[7]_Date_01_10_2020_ 0862,0,defect,1149,577.4647,114.4204,1048,96,5
100109202047_Blue_Lane [2]_RackIndex[7]_Date_01_10_2020_ 1278,0,defect,1244,576.6559,114.1977,1089,135,20
100109202047_Blue_Lane [3]_RackIndex[7]_Date_01_10_2020_ 0958,0,defect,1150,578.5191,114.7209,1017,95,38
100109202047_Blue_Lane [3]_RackIndex[7]_Date_01_10_2020_ 1054,0,defect,1158,578.4542,114.3333,1022,102,34
100109202047_Blue_Lane [3]_RackIndex[7]_Date_01_10_2020_ 1150,0,defect,1157,578.5004,114.5756,1012,106,39
100109202048_Blue_Lane [1]_RackIndex[10]_Date_01_10_2020_ 1252,0,defect,1049,478.7493,117.8532,847,98,104
100109202048_Blue_Lane [2]_RackIndex[8]_Date_01_10_2020_ 0672,0,defect,1103,479.7715,115.0263,990,40,73
100109202048_Blue_Lane [2]_RackIndex[8]_Date_01_10_2020_ 0768,0,defect,1072,479.7136,115.8703,982,41,49
100109202048_Blue_Lane [2]_RackIndex[8]_Date_01_10_2020_ 0864,0,defect,1104,479.7917,116.0435,958,70,76
100109202048_Blue_Lane [3]_RackIndex[8]_Date_01_10_2020_ 0960,0,defect,1089,481.0321,115.5546,980,55,54
100109202048_Blue_Lane [3]_RackIndex[8]_Date_01_10_2020_ 1056,0,defect,1116,480.8656,115.3378,919,74,123
100109202048_Blue_Lane [3]_RackIndex[8]_Date_01_10_2020_ 1152,0,defect,1080,480.9445,115.3222,931,76,73
100109202049_Blue_Lane [1]_RackIndex[2]_Date_01_10_2020_ 1236,0,defect,800,593.1613,114.7738,645,99,56
100109202049_Blue_Lane [2]_RackIndex[9]_Date_01_10_2020_ 0674,0,defect,826,596.1671,116.6308,736,82,8
100109202049_Blue_Lane [2]_RackIndex[9]_Date_01_10_2020_ 0770,0,defect,812,596.0973,116.2709,717,74,21
100109202049_Blue_Lane [2]_RackIndex[9]_Date_01_10_2020_ 0866,0,defect,825,596.16,116.3673,738,63,24
100109202049_Blue_Lane [3]_RackIndex[9]_Date_01_10_2020_ 1058,0,defect,773,597.1979,115.4567,654,81,38
100109202049_Blue_Lane [3]_RackIndex[9]_Date_01_10_2020_ 1154,0,defect,754,597.382,115.5199,654,82,18
100109202050_Blue_Lane [1]_RackIndex[9]_Date_01_10_2020_ 1250,0,defect,1347,469.2873,114.2086,1209,124,14
100109202050_Blue_Lane [2]_RackIndex[10]_Date_01_10_2020_ 0676,0,defect,1424,466.6559,113.46,1296,100,28
100109202050_Blue_Lane [2]_RackIndex[10]_Date_01_10_2020_ 0772,0,defect,1436,466.7305,114.1901,1290,122,24
100109202050_Blue_Lane [2]_RackIndex[10]_Date_01_10_2020_ 0868,0,defect,1450,467.0234,113.9628,1304,118,28
100109202050_Blue_Lane [3]_RackIndex[10]_Date_01_10_2020_ 0964,0,defect,1380,468.7196,113.6884,1205,127,48
100109202050_Blue_Lane [3]_RackIndex[10]_Date_01_10_2020_ 1060,0,defect,1395,468.6688,113.7011,1215,117,63
100109202050_Blue_Lane [3]_RackIndex[10]_Date_01_10_2020_ 1156,0,defect,1363,468.7755,113.1563,1208,99,56
100109202051_Blue_Lane [1]_RackIndex[16]_Date_01_10_2020_ 1264,0,defect,1213,544.6381,112.0247,1102,77,34
100109202051_Blue_Lane [2]_RackIndex[11]_Date_01_10_2020_ 0678,0,defect,1274,548.1169,111.3744,1147,78,49
100109202051_Blue_Lane [2]_RackIndex[11]_Date_01_10_2020_ 0774,0,defect,1283,548.1465,112.3406,1149,96,38
100109202051_Blue_Lane [2]_RackIndex[11]_Date_01_10_2020_ 0870,0,defect,1271,548.31,112.4587,1154,91,26
100109202051_Blue_Lane [3]_RackIndex[11]_Date_01_10_2020_ 0966,0,defect,1285,549.9448,114.2358,1163,85,37
100109202051_Blue_Lane [3]_RackIndex[11]_Date_01_10_2020_ 1062,0,defect,1324,549.9366,114.4932,1197,49,78
100109202051_Blue_Lane [3]_RackIndex[11]_Date_01_10_2020_ 1158,0,defect,1269,549.8022,113.7281,1145,94,30
100109202052_Blue_Lane [2]_RackIndex[4]_Date_01_10_2020_ 1272,0,defect,1154,566.4368,118.2002,978,87,89
100109202052_Blue_Lane [2]_RackIndex[12]_Date_01_10_2020_ 0680,0,defect,1074,564.1508,114.5624,955,84,35
100109202052_Blue_Lane [2]_RackIndex[12]_Date_01_10_2020_ 0776,0,defect,1066,564.0975,113.7917,928,97,41
100109202052_Blue_Lane [2]_RackIndex[12]_Date_01_10_2020_ 0872,0,defect,1045,564.1091,114.1502,921,83,41
100109202052_Blue_Lane [3]_RackIndex[12]_Date_01_10_2020_ 0968,0,defect,1046,565.3719,114.5105,910,89,47
100109202052_Blue_Lane [3]_RackIndex[12]_Date_01_10_2020_ 1064,0,defect,1057,565.3037,114.122,918,86,53
100109202052_Blue_Lane [3]_RackIndex[12]_Date_01_10_2020_ 1160,0,defect,1044,565.408,113.8956,902,89,53
100109202053_Blue_Lane [1]_RackIndex[3]_Date_01_10_2020_ 1238,0,defect,1073,487.7139,114.3038,904,104,65
100109202053_Blue_Lane [2]_RackIndex[13]_Date_01_10_2020_ 0682,0,defect,1078,485.9295,115.2078,930,112,36
100109202053_Blue_Lane [2]_RackIndex[13]_Date_01_10_2020_ 0778,0,defect,1075,485.8232,115.4326,937,108,30
100109202053_Blue_Lane [2]_RackIndex[13]_Date_01_10_2020_ 0874,0,defect,1059,485.6988,115.7819,944,98,17
100109202053_Blue_Lane [3]_RackIndex[13]_Date_01_10_2020_ 0970,0,defect,1080,486.5444,114.237,980,69,31
100109202053_Blue_Lane [3]_RackIndex[13]_Date_01_10_2020_ 1066,0,defect,1046,486.3948,115.261,951,74,21
100109202053_Blue_Lane [3]_RackIndex[13]_Date_01_10_2020_ 1162,0,defect,1050,486.3943,114.8581,958,72,20
100109202054_Blue_Lane [1]_RackIndex[13]_Date_01_10_2020_ 1258,0,defect,1168,520.9803,114.5916,1028,122,18
100109202054_Blue_Lane [2]_RackIndex[14]_Date_01_10_2020_ 0684,0,defect,1315,518.1331,115.0798,1149,113,53
100109202054_Blue_Lane [2]_RackIndex[14]_Date_01_10_2020_ 0780,0,defect,1266,517.872,116.0134,1113,110,43
100109202054_Blue_Lane [2]_RackIndex[14]_Date_01_10_2020_ 0876,0,defect,1260,518.0579,115.6754,1111,114,35
100109202054_Blue_Lane [3]_RackIndex[14]_Date_01_10_2020_ 0972,0,defect,1249,519.4251,115.3106,1087,116,46
100109202054_Blue_Lane [3]_RackIndex[14]_Date_01_10_2020_ 1068,0,defect,1223,519.3434,115.2821,1051,121,51
100109202054_Blue_Lane [3]_RackIndex[14]_Date_01_10_2020_ 1164,0,defect,1218,519.3555,116.0657,1047,125,46
100109202055_Blue_Lane [2]_RackIndex[5]_Date_01_10_2020_ 1274,0,defect,1094,547.2459,116.372,979,111,4
100109202055_Blue_Lane [2]_RackIndex[15]_Date_01_10_2020_ 0686,0,defect,1098,541.4517,119.0118,976,110,12
100109202055_Blue_Lane [2]_RackIndex[15]_Date_01_10_2020_ 0782,0,defect,1097,541.608,119.0975,979,109,9
100109202055_Blue_Lane [2]_RackIndex[15]_Date_01_10_2020_ 0878,0,defect,1089,541.6014,118.5445,971,97,21
100109202055_Blue_Lane [3]_RackIndex[15]_Date_01_10_2020_ 0974,0,defect,1088,542.6048,118.2546,934,109,45
100109202055_Blue_Lane [3]_RackIndex[15]_Date_01_10_2020_ 1070,0,defect,1083,542.5845,117.6547,927,108,48
100109202055_Blue_Lane [3]_RackIndex[15]_Date_01_10_2020_ 1166,0,defect,1079,542.5338,118.0519,937,102,40
100109202056_Blue_Lane [2]_RackIndex[3]_Date_01_10_2020_ 1270,0,defect,343,464.8921,141.8105,0,0,343
100109202056_Blue_Lane [2]_RackIndex[3]_Date_01_10_2020_ 1270,0,defect,114,460.2281,76.90351,0,0,114
100109202056_Blue_Lane [2]_RackIndex[16]_Date_01_10_2020_ 0688,0,defect,385,457.2831,136.6026,0,0,385
100109202056_Blue_Lane [2]_RackIndex[16]_Date_01_10_2020_ 0784,0,defect,325,457.5169,135.2369,0,0,325
100109202056_Blue_Lane [2]_RackIndex[16]_Date_01_10_2020_ 0880,0,defect,271,457.1845,138.6974,0,0,271
100109202056_Blue_Lane [3]_RackIndex[16]_Date_01_10_2020_ 0976,0,defect,352,458.8068,133.0909,0,0,352
100109202056_Blue_Lane [3]_RackIndex[16]_Date_01_10_2020_ 1072,0,defect,340,458.7706,134.7647,0,0,340
100109202056_Blue_Lane [3]_RackIndex[16]_Date_01_10_2020_ 1168,0,defect,283,458.4523,137.8905,0,0,283
100109202057_Blue_Lane [1]_RackIndex[8]_Date_01_10_2020_ 1248,0,defect,1111,531.8767,116.9334,975,77,59
100109202057_Blue_Lane [3]_RackIndex[1]_Date_01_10_2020_ 0690,0,defect,1259,529.1605,119.7506,1128,114,17
100109202057_Blue_Lane [3]_RackIndex[1]_Date_01_10_2020_ 0786,0,defect,1208,529.3386,119.7376,1086,101,21
100109202057_Blue_Lane [3]_RackIndex[1]_Date_01_10_2020_ 0882,0,defect,1198,529.4766,119.818,1078,104,16
100109202057_Blue_Lane [5]_RackIndex[1]_Date_01_10_2020_ 1010,0,defect,1182,531.7267,120.3748,1064,82,36
100109202057_Blue_Lane [5]_RackIndex[1]_Date_01_10_2020_ 1106,0,defect,1189,531.7982,121.2733,1043,96,50
100109202057_Blue_Lane [5]_RackIndex[1]_Date_01_10_2020_ 1202,0,defect,1164,531.7225,120.6521,1044,82,38
100109202058_Blue_Lane [2]_RackIndex[8]_Date_01_10_2020_ 1280,0,defect,1336,438.5898,114.2784,1213,104,19
100109202058_Blue_Lane [3]_RackIndex[2]_Date_01_10_2020_ 0692,0,defect,1439,436.4065,119.6101,1331,88,20
100109202058_Blue_Lane [3]_RackIndex[2]_Date_01_10_2020_ 0788,0,defect,1435,436.5652,119.4592,1315,89,31
100109202058_Blue_Lane [3]_RackIndex[2]_Date_01_10_2020_ 0884,0,defect,1401,436.4939,120.1527,1282,79,40
100109202058_Blue_Lane [5]_RackIndex[2]_Date_01_10_2020_ 1012,0,defect,1347,438.7825,120.9013,1225,94,28
100109202058_Blue_Lane [5]_RackIndex[2]_Date_01_10_2020_ 1108,0,defect,1350,438.8481,120.4615,1237,93,20
100109202058_Blue_Lane [5]_RackIndex[2]_Date_01_10_2020_ 1204,0,defect,1332,438.765,121.5023,1206,100,26
100109202059_Blue_Lane [1]_RackIndex[7]_Date_01_10_2020_ 1246,0,defect,1109,542.6321,115.7719,930,112,67
100109202059_Blue_Lane [3]_RackIndex[3]_Date_01_10_2020_ 0694,0,defect,1103,540.5712,117.398,948,59,96
100109202059_Blue_Lane [3]_RackIndex[3]_Date_01_10_2020_ 0790,0,defect,1105,540.9719,117.6036,940,101,64
100109202059_Blue_Lane [3]_RackIndex[3]_Date_01_10_2020_ 0886,0,defect,1119,541.1555,116.6988,972,79,68
100109202059_Blue_Lane [5]_RackIndex[3]_Date_01_10_2020_ 1014,0,defect,1137,543.5321,117.4908,1037,48,52
100109202059_Blue_Lane [5]_RackIndex[3]_Date_01_10_2020_ 1110,0,defect,1081,543.6272,115.9241,978,79,24
100109202059_Blue_Lane [5]_RackIndex[3]_Date_01_10_2020_ 1206,0,defect,1119,543.5907,117.2252,1015,82,22
100114202001_Blue_Lane [1]_RackIndex[1]_Date_01_15_2020_ 1330,0,defect,803,571.7547,115.4172,653,99,51
100114202001_Blue_Lane [1]_RackIndex[1]_Date_01_15_2020_ 1362,0,defect,752,572.3245,116.0758,596,91,65
100114202001_Blue_Lane [1]_RackIndex[1]_Date_01_15_2020_ 1394,0,defect,748,572.3636,116.2487,593,93,62
100114202001_Blue_Lane [1]_RackIndex[1]_Date_01_15_2020_ 1426,0,defect,738,572.5922,117.2913,605,95,38
100114202001_Blue_Lane [6]_RackIndex[4]_Date_01_23_2020_ 1624,0,defect,1009,581.1586,113.4361,854,100,55
100114202002_Blue_Lane [1]_RackIndex[2]_Date_01_15_2020_ 1332,0,defect,1287,460.2743,119.0521,1169,100,18
100114202002_Blue_Lane [1]_RackIndex[2]_Date_01_15_2020_ 1364,0,defect,1261,461.0571,119.6463,1101,131,29
100114202002_Blue_Lane [1]_RackIndex[2]_Date_01_15_2020_ 1396,0,defect,1258,461.3291,119.6017,1097,108,53
100114202002_Blue_Lane [1]_RackIndex[2]_Date_01_15_2020_ 1428,0,defect,1253,461.5994,119.4916,1100,107,46
100114202002_Blue_Lane [6]_RackIndex[13]_Date_01_23_2020_ 1642,0,defect,1582,464.4722,115.4716,1409,32,141
100114202003_Blue_Lane [1]_RackIndex[3]_Date_01_15_2020_ 1334,0,defect,603,551.2438,112.8524,449,98,56
100114202003_Blue_Lane [1]_RackIndex[3]_Date_01_15_2020_ 1366,0,defect,569,551.645,114.5554,0,0,569
100114202003_Blue_Lane [1]_RackIndex[3]_Date_01_15_2020_ 1398,0,defect,626,551.8834,114.3594,457,131,38
100114202003_Blue_Lane [1]_RackIndex[3]_Date_01_15_2020_ 1430,0,defect,599,551.8965,115.1937,459,115,25
100114202003_Blue_Lane [6]_RackIndex[16]_Date_01_23_2020_ 1648,0,defect,695,547.1597,117.4331,531,69,95
100114202004_Blue_Lane [1]_RackIndex[4]_Date_01_15_2020_ 1336,0,defect,1185,515.7949,119.5266,1038,119,28
100114202004_Blue_Lane [1]_RackIndex[4]_Date_01_15_2020_ 1368,0,defect,1213,516.2209,120.2325,1078,108,27
100114202004_Blue_Lane [1]_RackIndex[4]_Date_01_15_2020_ 1400,0,defect,1189,516.2952,119.307,1026,131,32
100114202004_Blue_Lane [1]_RackIndex[4]_Date_01_15_2020_ 1432,0,defect,1207,516.4714,119.7846,1064,101,42
100114202004_Blue_Lane [6]_RackIndex[12]_Date_01_23_2020_ 1640,0,defect,1312,517.654,115.0183,1144,81,87
100114202005_Blue_Lane [1]_RackIndex[5]_Date_01_15_2020_ 1338,0,defect,1927,562.8671,117.7452,1841,56,30
100114202005_Blue_Lane [1]_RackIndex[5]_Date_01_15_2020_ 1370,0,defect,1876,563.952,117.0037,1780,55,41
100114202005_Blue_Lane [1]_RackIndex[5]_Date_01_15_2020_ 1402,0,defect,1807,563.8633,117.2186,1701,68,38
100114202005_Blue_Lane [1]_RackIndex[5]_Date_01_15_2020_ 1434,0,defect,1786,563.9183,117.1713,1676,77,33
100114202005_Blue_Lane [6]_RackIndex[10]_Date_01_23_2020_ 1636,0,defect,1875,566.1253,114.0901,1714,60,101
100114202006_Blue_Lane [1]_RackIndex[6]_Date_01_15_2020_ 1340,0,defect,1271,491.2824,114.0441,1145,107,19
100114202006_Blue_Lane [1]_RackIndex[6]_Date_01_15_2020_ 1372,0,defect,1239,491.4294,113.4358,1068,128,43
100114202006_Blue_Lane [1]_RackIndex[6]_Date_01_15_2020_ 1404,0,defect,1291,491.7196,113.4214,1140,96,55
100114202006_Blue_Lane [1]_RackIndex[6]_Date_01_15_2020_ 1436,0,defect,1269,491.8582,113.9582,1143,86,40
100114202006_Blue_Lane [6]_RackIndex[6]_Date_01_23_2020_ 1628,0,defect,1644,497.5511,115.2628,1534,61,49
100114202007_Blue_Lane [1]_RackIndex[7]_Date_01_15_2020_ 1342,0,defect,1029,592.1254,116.8542,849,111,69
100114202007_Blue_Lane [1]_RackIndex[7]_Date_01_15_2020_ 1374,0,defect,929,592.5447,116.9968,809,105,15
100114202007_Blue_Lane [1]_RackIndex[7]_Date_01_15_2020_ 1406,0,defect,1017,592.3284,116.648,826,116,75
100114202007_Blue_Lane [1]_RackIndex[7]_Date_01_15_2020_ 1438,0,defect,1006,592.4255,116.2664,836,106,64
100114202007_Blue_Lane [6]_RackIndex[2]_Date_01_23_2020_ 1620,0,defect,1187,594.4178,116.3749,1051,96,40
100114202008_Blue_Lane [1]_RackIndex[8]_Date_01_15_2020_ 1344,0,defect,968,496.3264,115.0176,832,105,31
100114202008_Blue_Lane [1]_RackIndex[8]_Date_01_15_2020_ 1376,0,defect,930,496.5645,114.5344,824,93,13
100114202008_Blue_Lane [1]_RackIndex[8]_Date_01_15_2020_ 1408,0,defect,935,496.5219,114.3337,814,100,21
100114202008_Blue_Lane [1]_RackIndex[8]_Date_01_15_2020_ 1440,0,defect,938,496.5832,114.2729,817,100,21
100114202009_Blue_Lane [1]_RackIndex[9]_Date_01_15_2020_ 1346,0,defect,1535,576.3336,115.7088,1360,104,71
100114202009_Blue_Lane [1]_RackIndex[9]_Date_01_15_2020_ 1378,0,defect,1434,577.0474,115.196,1304,107,23
100114202009_Blue_Lane [1]_RackIndex[9]_Date_01_15_2020_ 1410,0,defect,1471,577.0877,114.5717,1329,99,43
100114202009_Blue_Lane [1]_RackIndex[9]_Date_01_15_2020_ 1442,0,defect,1509,577.1359,114.9039,1335,104,70
100114202009_Blue_Lane [6]_RackIndex[15]_Date_01_23_2020_ 1646,0,defect,1350,576.4022,113.76,1219,103,28
100114202010_Blue_Lane [6]_RackIndex[11]_Date_01_23_2020_ 1638,0,defect,994,503.2274,115.8803,878,95,21
100114202011_Blue_Lane [1]_RackIndex[11]_Date_01_15_2020_ 1350,0,defect,1184,514.8607,114.5963,1038,104,42
100114202011_Blue_Lane [1]_RackIndex[11]_Date_01_15_2020_ 1382,0,defect,1099,515.5078,115.4786,954,109,36
100114202011_Blue_Lane [1]_RackIndex[11]_Date_01_15_2020_ 1414,0,defect,1158,515.8394,114.7116,993,115,50
100114202011_Blue_Lane [1]_RackIndex[11]_Date_01_15_2020_ 1446,0,defect,1107,516.1075,115.5592,964,105,38
100114202011_Blue_Lane [6]_RackIndex[9]_Date_01_23_2020_ 1634,0,defect,854,519.7635,110.8899,739,100,15
100114202012_Blue_Lane [6]_RackIndex[5]_Date_01_23_2020_ 1626,0,defect,1005,557.4597,109.4796,905,80,20
100114202013_Blue_Lane [1]_RackIndex[13]_Date_01_15_2020_ 1354,0,defect,965,560.3295,113.6756,838,104,23
100114202013_Blue_Lane [1]_RackIndex[13]_Date_01_15_2020_ 1386,0,defect,927,560.4585,113.5372,817,100,10
100114202013_Blue_Lane [1]_RackIndex[13]_Date_01_15_2020_ 1418,0,defect,941,560.5409,114.0733,847,88,6
100114202013_Blue_Lane [1]_RackIndex[13]_Date_01_15_2020_ 1450,0,defect,945,560.5048,113.9048,846,89,10
100114202013_Blue_Lane [6]_RackIndex[1]_Date_01_23_2020_ 1618,0,defect,801,562.2135,120.6891,705,79,17
100114202015_Blue_Lane [2]_RackIndex[8]_Date_01_23_2020_ 1504,0,defect,1020,551.9608,113.8598,851,106,63
100116202051_Blue_Lane [2]_RackIndex[14]_Date_01_23_2020_ 1516,0,defect,1063,491.0809,119.5287,927,106,30
100116202052_Blue_Lane [2]_RackIndex[15]_Date_01_23_2020_ 1518,0,defect,1527,501.6653,113.5737,1321,53,153
100116202053_Blue_Lane [3]_RackIndex[1]_Date_01_23_2020_ 1522,0,defect,1033,555.151,115.4889,852,120,61
100116202054_Blue_Lane [3]_RackIndex[2]_Date_01_23_2020_ 1524,0,defect,1466,458.5525,116.8854,1358,87,21
100116202055_Blue_Lane [2]_RackIndex[7]_Date_01_23_2020_ 1502,0,defect,1072,580.8032,117.9683,945,90,37
100116202056_Blue_Lane [2]_RackIndex[6]_Date_01_23_2020_ 1500,0,defect,994,442.3763,113.7163,858,107,29
100116202057_Blue_Lane [2]_RackIndex[11]_Date_01_23_2020_ 1510,0,defect,1144,611.7028,114.5927,1031,84,29
100116202058_Blue_Lane [2]_RackIndex[13]_Date_01_23_2020_ 1514,0,defect,903,529.3411,116.7619,766,110,27
100116202059_Blue_Lane [2]_RackIndex[16]_Date_01_23_2020_ 1520,0,defect,1278,477.4359,113.7574,1152,99,27
100116202060_Blue_Lane [3]_RackIndex[3]_Date_01_23_2020_ 1526,0,defect,1410,501.6305,114.1397,1308,95,7
100116202061_Blue_Lane [2]_RackIndex[5]_Date_01_23_2020_ 1498,0,defect,1175,603.4443,114.2162,1068,100,7
100116202062_Blue_Lane [2]_RackIndex[4]_Date_01_23_2020_ 1496,0,defect,1019,531.1364,118.5123,879,100,40
100116202063_Blue_Lane [2]_RackIndex[10]_Date_01_23_2020_ 1508,0,defect,1331,558.2915,115.8753,1210,107,14
100116202064_Blue_Lane [2]_RackIndex[12]_Date_01_23_2020_ 1512,0,defect,906,469.6744,112.9382,782,103,21
100116202065_Blue_Lane [3]_RackIndex[5]_Date_01_23_2020_ 1530,0,defect,1053,515.8804,116.6154,896,104,53
100116202066_Blue_Lane [3]_RackIndex[4]_Date_01_23_2020_ 1528,0,defect,1439,535.3412,117.1703,1316,121,2
100116202067_Blue_Lane [2]_RackIndex[3]_Date_01_23_2020_ 1494,0,defect,1300,520.4731,113.9585,1156,113,31
100116202068_Blue_Lane [2]_RackIndex[2]_Date_01_23_2020_ 1492,0,defect,1323,510.6304,116.5374,1179,120,24
100116202069_Blue_Lane [2]_RackIndex[1]_Date_01_23_2020_ 1490,0,defect,1491,559.452,117.1261,1360,89,42
100116202070_Blue_Lane [1]_RackIndex[16]_Date_01_23_2020_ 1488,0,defect,1124,576.7936,115.0276,988,109,27
100117202001_Blue_Lane [4]_RackIndex[6]_Date_01_23_2020_ 1564,0,defect,1394,557.3041,114.3458,1273,100,21
100117202002_Blue_Lane [4]_RackIndex[4]_Date_01_23_2020_ 1560,0,defect,1345,475.8379,120.8268,1188,94,63
100117202003_Blue_Lane [4]_RackIndex[5]_Date_01_23_2020_ 1562,0,defect,1823,508.4087,116.3039,0,0,1823
100117202004_Blue_Lane [4]_RackIndex[8]_Date_01_23_2020_ 1568,0,defect,1344,523.1369,116.7039,1215,98,31
100117202005_Blue_Lane [4]_RackIndex[10]_Date_01_23_2020_ 1572,0,defect,1003,554.6929,119.3988,854,148,1
100117202006_Blue_Lane [4]_RackIndex[11]_Date_01_23_2020_ 1574,0,defect,970,543.1701,115.7505,817,56,97
100117202007_Blue_Lane [4]_RackIndex[7]_Date_01_23_2020_ 1566,0,defect,1374,573.6499,112.8537,1169,36,169
100117202008_Blue_Lane [4]_RackIndex[2]_Date_01_23_2020_ 1556,0,defect,1344,512.0833,118.994,1184,72,88
100117202009_Blue_Lane [4]_RackIndex[3]_Date_01_23_2020_ 1558,0,defect,1631,500.5156,119.035,1509,87,35
100117202010_Blue_Lane [4]_RackIndex[9]_Date_01_23_2020_ 1570,0,defect,910,534.8132,114.0912,773,105,32
100117202011_Blue_Lane [4]_RackIndex[12]_Date_01_23_2020_ 1576,0,defect,1265,523.2048,114.8277,1106,93,66
100117202012_Blue_Lane [4]_RackIndex[13]_Date_01_23_2020_ 1578,0,defect,1487,542.0249,114.2165,1352,88,47
100117202015_Blue_Lane [3]_RackIndex[15]_Date_01_23_2020_ 1550,0,defect,780,453.6859,117.1833,531,119,130
100117202016_Blue_Lane [3]_RackIndex[14]_Date_01_23_2020_ 1548,0,defect,1257,552.105,118.1519,1106,117,34
100117202017_Blue_Lane [4]_RackIndex[1]_Date_01_23_2020_ 1554,0,defect,1063,535.8316,117.4817,904,112,47
100117202018_Blue_Lane [3]_RackIndex[16]_Date_01_23_2020_ 1552,0,defect,1529,500.9124,117.601,1421,95,13
100117202019_Blue_Lane [3]_RackIndex[7]_Date_01_23_2020_ 1534,0,defect,1067,521.6251,112.7226,943,100,24
100117202020_Blue_Lane [3]_RackIndex[6]_Date_01_23_2020_ 1532,0,defect,988,545.9443,118.0142,838,116,34
100117202021_Blue_Lane [3]_RackIndex[9]_Date_01_23_2020_ 1538,0,defect,1343,471.5428,115.5168,1226,76,41
100117202022_Blue_Lane [3]_RackIndex[8]_Date_01_23_2020_ 1536,0,defect,1004,571.1893,115.4303,838,107,59
100117202023_Blue_Lane [3]_RackIndex[11]_Date_01_23_2020_ 1542,0,defect,1256,446.4236,115.1346,1135,97,24
100122202002_Blue_Lane [1]_RackIndex[13]_Date_01_23_2020_ 1482,0,defect,708,523.9873,111.1398,521,134,53
100122202003_Blue_Lane [1]_RackIndex[14]_Date_01_23_2020_ 1484,0,defect,697,564.2353,111.4046,0,0,697
100122202005_Blue_Lane [1]_RackIndex[8]_Date_01_23_2020_ 1472,0,defect,1026,622.1111,116.1813,841,103,82
100122202006_Blue_Lane [1]_RackIndex[11]_Date_01_23_2020_ 1478,0,defect,2377,462.8927,111.6323,1328,46,1003
100122202007_Blue_Lane [1]_RackIndex[12]_Date_01_23_2020_ 1480,0,defect,1330,529.1233,115.8278,1188,125,17
100122202008_Blue_Lane [1]_RackIndex[9]_Date_01_23_2020_ 1474,0,defect,933,603.9582,117.0514,719,94,120
