View name,View index,Feature name,Area,X,Y,Overlapping pixels (cyan),ViDi markings only pixels (pink),Region only pixels (mustard)
100109202026_Blue_Lane [1]_RackIndex[2]_Date_01_10_2020_ 0628,0,defect,872,503.5986,118.5436,742,92,38
100109202026_Blue_Lane [1]_RackIndex[2]_Date_01_10_2020_ 0724,0,defect,886,503.8849,118.4255,758,91,37
100109202026_Blue_Lane [1]_RackIndex[2]_Date_01_10_2020_ 0820,0,defect,880,504.0693,118.7,780,76,24
100109202026_Blue_Lane [1]_RackIndex[2]_Date_01_10_2020_ 0916,0,defect,917,503.4515,118.9956,784,99,34
100109202026_Blue_Lane [1]_RackIndex[5]_Date_01_10_2020_ 1242,0,defect,794,508.6549,115.1423,638,104,52
100109202026_Blue_Lane [2]_RackIndex[10]_Date_01_09_2020_ 0580,0,defect,831,510.787,114.1697,707,103,21
100109202026_Blue_Lane [4]_RackIndex[2]_Date_01_10_2020_ 0980,0,defect,880,507.2739,119.6523,765,87,28
100109202026_Blue_Lane [4]_RackIndex[2]_Date_01_10_2020_ 1076,0,defect,880,507.2011,117.8864,736,90,54
100109202026_Blue_Lane [4]_RackIndex[2]_Date_01_10_2020_ 1172,0,defect,867,507.1061,117.6632,753,81,33
100109202027_Blue_Lane [1]_RackIndex[3]_Date_01_10_2020_ 0630,0,defect,1202,470.9842,119.8095,1071,116,15
100109202027_Blue_Lane [1]_RackIndex[3]_Date_01_10_2020_ 0726,0,defect,1189,471.5568,118.3448,1055,116,18
100109202027_Blue_Lane [1]_RackIndex[3]_Date_01_10_2020_ 0822,0,defect,1177,471.6296,117.6151,1058,104,15
100109202027_Blue_Lane [1]_RackIndex[3]_Date_01_10_2020_ 0918,0,defect,1187,471.7422,116.7641,1090,88,9
100109202027_Blue_Lane [2]_RackIndex[11]_Date_01_09_2020_ 0582,0,defect,1150,475.9826,114.9983,1002,125,23
100109202027_Blue_Lane [2]_RackIndex[14]_Date_01_10_2020_ 1292,0,defect,1251,469.9648,116.709,1125,114,12
100109202027_Blue_Lane [4]_RackIndex[3]_Date_01_10_2020_ 0982,0,defect,1285,475.3728,117.9276,1079,132,74
100109202027_Blue_Lane [4]_RackIndex[3]_Date_01_10_2020_ 1078,0,defect,1262,475.565,117.9287,1094,119,49
100109202027_Blue_Lane [4]_RackIndex[3]_Date_01_10_2020_ 1174,0,defect,1283,475.7404,118.3172,1121,124,38
100109202027_Blue_Lane [6]_RackIndex[3]_Date_01_23_2020_ 1622,0,defect,763,468.481,118.8571,641,99,23
100109202028_Blue_Lane [1]_RackIndex[4]_Date_01_10_2020_ 0632,0,defect,1096,527.2773,117.5903,984,98,14
